,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alone,predicted
281,3,male,28.0,0,0,7.8542,S,Third,man,True,Unknown,Southampton,True,0
435,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,False,1
39,3,female,14.0,1,0,11.2417,C,Third,child,False,Unknown,Cherbourg,False,1
418,2,male,30.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,True,0
585,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,False,1
804,3,male,27.0,0,0,6.975,S,Third,man,True,Unknown,Southampton,True,0
343,2,male,25.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,True,0
836,3,male,21.0,0,0,8.6625,S,Third,man,True,Unknown,Southampton,True,0
581,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,False,1
537,1,female,30.0,0,0,106.425,C,First,woman,False,Unknown,Cherbourg,True,1
791,2,male,16.0,0,0,26.0,S,Second,man,True,Unknown,Southampton,True,0
142,3,female,24.0,1,0,15.85,S,Third,woman,False,Unknown,Southampton,False,0
631,3,male,51.0,0,0,7.0542,S,Third,man,True,Unknown,Southampton,True,0
73,3,male,26.0,1,0,14.4542,C,Third,man,True,Unknown,Cherbourg,False,0
713,3,male,29.0,0,0,9.4833,S,Third,man,True,Unknown,Southampton,True,0
508,3,male,28.0,0,0,22.525,S,Third,man,True,Unknown,Southampton,True,0
544,1,male,50.0,1,0,106.425,C,First,man,True,C,Cherbourg,False,1
531,3,male,23.79929292929293,0,0,7.2292,C,Third,man,True,Unknown,Cherbourg,True,0
817,2,male,31.0,1,1,37.0042,C,Second,man,True,Unknown,Cherbourg,False,0
738,3,male,23.79929292929293,0,0,7.8958,S,Third,man,True,Unknown,Southampton,True,0
71,3,female,16.0,5,2,46.9,S,Third,woman,False,Unknown,Southampton,False,0
166,1,female,23.79929292929293,0,1,55.0,S,First,woman,False,E,Southampton,False,1
197,3,male,42.0,0,1,8.4042,S,Third,man,True,Unknown,Southampton,False,0
295,1,male,23.79929292929293,0,0,27.7208,C,First,man,True,Unknown,Cherbourg,True,0
589,3,male,23.79929292929293,0,0,8.05,S,Third,man,True,Unknown,Southampton,True,0
30,1,male,40.0,0,0,27.7208,C,First,man,True,Unknown,Cherbourg,True,0
292,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,True,0
303,2,female,23.79929292929293,0,0,12.35,Q,Second,woman,False,E,Queenstown,True,1
602,1,male,23.79929292929293,0,0,42.4,S,First,man,True,Unknown,Southampton,True,0
619,2,male,26.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,True,0
23,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,True,0
300,3,female,23.79929292929293,0,0,7.75,Q,Third,woman,False,Unknown,Queenstown,True,1
87,3,male,23.79929292929293,0,0,8.05,S,Third,man,True,Unknown,Southampton,True,0
583,1,male,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,True,0
360,3,male,40.0,1,4,27.9,S,Third,man,True,Unknown,Southampton,False,0
137,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,False,0
448,3,female,5.0,2,1,19.2583,C,Third,child,False,Unknown,Cherbourg,False,1
737,1,male,35.0,0,0,512.3292,C,First,man,True,B,Cherbourg,True,0
584,3,male,23.79929292929293,0,0,8.7125,C,Third,man,True,Unknown,Cherbourg,True,0
121,3,male,23.79929292929293,0,0,8.05,S,Third,man,True,Unknown,Southampton,True,0
397,2,male,46.0,0,0,26.0,S,Second,man,True,Unknown,Southampton,True,0
729,3,female,25.0,1,0,7.925,S,Third,woman,False,Unknown,Southampton,False,0
734,2,male,23.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,True,0
870,3,male,26.0,0,0,7.8958,S,Third,man,True,Unknown,Southampton,True,0
447,1,male,34.0,0,0,26.55,S,First,man,True,Unknown,Southampton,True,0
209,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,True,0
312,2,female,26.0,1,1,26.0,S,Second,woman,False,Unknown,Southampton,False,1
210,3,male,24.0,0,0,7.05,S,Third,man,True,Unknown,Southampton,True,0
722,2,male,34.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,True,0
299,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,False,1
535,2,female,7.0,0,2,26.25,S,Second,child,False,Unknown,Southampton,False,1
44,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Unknown,Queenstown,True,1
395,3,male,22.0,0,0,7.7958,S,Third,man,True,Unknown,Southampton,True,0
236,2,male,44.0,1,0,26.0,S,Second,man,True,Unknown,Southampton,False,0
446,2,female,13.0,0,1,19.5,S,Second,child,False,Unknown,Southampton,False,1
427,2,female,19.0,0,0,26.0,S,Second,woman,False,Unknown,Southampton,True,1
362,3,female,45.0,0,1,14.4542,C,Third,woman,False,Unknown,Cherbourg,False,0
528,3,male,39.0,0,0,7.925,S,Third,man,True,Unknown,Southampton,True,0
138,3,male,16.0,0,0,9.2167,S,Third,man,True,Unknown,Southampton,True,0
219,2,male,30.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,True,0
68,3,female,17.0,4,2,7.925,S,Third,woman,False,Unknown,Southampton,False,0
423,3,female,28.0,1,1,14.4,S,Third,woman,False,Unknown,Southampton,False,0
366,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,False,1
282,3,male,16.0,0,0,9.5,S,Third,man,True,Unknown,Southampton,True,0
717,2,female,27.0,0,0,10.5,S,Second,woman,False,E,Southampton,True,1
228,2,male,18.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,True,0
482,3,male,50.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,True,0
169,3,male,28.0,0,0,56.4958,S,Third,man,True,Unknown,Southampton,True,1
835,1,female,39.0,1,1,83.1583,C,First,woman,False,E,Cherbourg,False,1
369,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,True,1
886,2,male,27.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,True,0
297,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,False,1
140,3,female,23.79929292929293,0,2,15.2458,C,Third,woman,False,Unknown,Cherbourg,False,1
821,3,male,27.0,0,0,8.6625,S,Third,man,True,Unknown,Southampton,True,0
559,3,female,36.0,1,0,17.4,S,Third,woman,False,Unknown,Southampton,False,0
211,2,female,35.0,0,0,21.0,S,Second,woman,False,Unknown,Southampton,True,1
67,3,male,19.0,0,0,8.1583,S,Third,man,True,Unknown,Southampton,True,0
590,3,male,35.0,0,0,7.125,S,Third,man,True,Unknown,Southampton,True,0
205,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,False,1
782,1,male,29.0,0,0,30.0,S,First,man,True,D,Southampton,True,0
276,3,female,45.0,0,0,7.75,S,Third,woman,False,Unknown,Southampton,True,0
842,1,female,30.0,0,0,31.0,C,First,woman,False,Unknown,Cherbourg,True,1
417,2,female,18.0,0,2,13.0,S,Second,woman,False,Unknown,Southampton,False,1
573,3,female,23.79929292929293,0,0,7.75,Q,Third,woman,False,Unknown,Queenstown,True,1
405,2,male,34.0,1,0,21.0,S,Second,man,True,Unknown,Southampton,False,0
790,3,male,23.79929292929293,0,0,7.75,Q,Third,man,True,Unknown,Queenstown,True,0
845,3,male,42.0,0,0,7.55,S,Third,man,True,Unknown,Southampton,True,0
658,2,male,23.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,True,0
785,3,male,25.0,0,0,7.25,S,Third,man,True,Unknown,Southampton,True,0
77,3,male,23.79929292929293,0,0,8.05,S,Third,man,True,Unknown,Southampton,True,0
744,3,male,31.0,0,0,7.925,S,Third,man,True,Unknown,Southampton,True,0
474,3,female,22.0,0,0,9.8375,S,Third,woman,False,Unknown,Southampton,True,0
212,3,male,22.0,0,0,7.25,S,Third,man,True,Unknown,Southampton,True,0
719,3,male,33.0,0,0,7.775,S,Third,man,True,Unknown,Southampton,True,0
826,3,male,23.79929292929293,0,0,56.4958,S,Third,man,True,Unknown,Southampton,True,1
111,3,female,14.5,1,0,14.4542,C,Third,child,False,Unknown,Cherbourg,False,1
335,3,male,23.79929292929293,0,0,7.8958,S,Third,man,True,Unknown,Southampton,True,0
812,2,male,35.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,True,0
869,3,male,4.0,1,1,11.1333,S,Third,child,False,Unknown,Southampton,False,1
560,3,male,23.79929292929293,0,0,7.75,Q,Third,man,True,Unknown,Queenstown,True,0
784,3,male,25.0,0,0,7.05,S,Third,man,True,Unknown,Southampton,True,0
689,1,female,15.0,0,1,211.3375,S,First,child,False,B,Southampton,False,1
634,3,female,9.0,3,2,27.9,S,Third,child,False,Unknown,Southampton,False,0
769,3,male,32.0,0,0,8.3625,S,Third,man,True,Unknown,Southampton,True,0
570,2,male,62.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,True,0
668,3,male,43.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,True,0
216,3,female,27.0,0,0,7.925,S,Third,woman,False,Unknown,Southampton,True,0
853,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,False,1
553,3,male,22.0,0,0,7.225,C,Third,man,True,Unknown,Cherbourg,True,0
652,3,male,21.0,0,0,8.4333,S,Third,man,True,Unknown,Southampton,True,0
876,3,male,20.0,0,0,9.8458,S,Third,man,True,Unknown,Southampton,True,0
97,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,False,0
266,3,male,16.0,4,1,39.6875,S,Third,man,True,Unknown,Southampton,False,0
383,1,female,35.0,1,0,52.0,S,First,woman,False,Unknown,Southampton,False,1
214,3,male,23.79929292929293,1,0,7.75,Q,Third,man,True,Unknown,Queenstown,False,0
175,3,male,18.0,1,1,7.8542,S,Third,man,True,Unknown,Southampton,False,0
317,2,male,54.0,0,0,14.0,S,Second,man,True,Unknown,Southampton,True,0
466,2,male,23.79929292929293,0,0,0.0,S,Second,man,True,Unknown,Southampton,True,0
79,3,female,30.0,0,0,12.475,S,Third,woman,False,Unknown,Southampton,True,0
333,3,male,16.0,2,0,18.0,S,Third,man,True,Unknown,Southampton,False,0
193,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,False,1
520,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,True,1
771,3,male,48.0,0,0,7.8542,S,Third,man,True,Unknown,Southampton,True,0
538,3,male,23.79929292929293,0,0,14.5,S,Third,man,True,Unknown,Southampton,True,0
291,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,False,1
849,1,female,23.79929292929293,1,0,89.1042,C,First,woman,False,C,Cherbourg,False,1
64,1,male,23.79929292929293,0,0,27.7208,C,First,man,True,Unknown,Cherbourg,True,0
577,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,False,1
501,3,female,21.0,0,0,7.75,Q,Third,woman,False,Unknown,Queenstown,True,1
694,1,male,60.0,0,0,26.55,S,First,man,True,Unknown,Southampton,True,0
66,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,True,1
841,2,male,16.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,True,0
665,2,male,32.0,2,0,73.5,S,Second,man,True,Unknown,Southampton,False,0
598,3,male,23.79929292929293,0,0,7.225,C,Third,man,True,Unknown,Cherbourg,True,0
315,3,female,26.0,0,0,7.8542,S,Third,woman,False,Unknown,Southampton,True,0
801,2,female,31.0,1,1,26.25,S,Second,woman,False,Unknown,Southampton,False,1
805,3,male,31.0,0,0,7.775,S,Third,man,True,Unknown,Southampton,True,0
345,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,True,1
49,3,female,18.0,1,0,17.8,S,Third,woman,False,Unknown,Southampton,False,0
651,2,female,18.0,0,1,23.0,S,Second,woman,False,Unknown,Southampton,False,1
255,3,female,29.0,0,2,15.2458,C,Third,woman,False,Unknown,Cherbourg,False,1
656,3,male,23.79929292929293,0,0,7.8958,S,Third,man,True,Unknown,Southampton,True,0
443,2,female,28.0,0,0,13.0,S,Second,woman,False,Unknown,Southampton,True,1
885,3,female,39.0,0,5,29.125,Q,Third,woman,False,Unknown,Queenstown,False,0
306,1,female,23.79929292929293,0,0,110.8833,C,First,woman,False,Unknown,Cherbourg,True,1
248,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,False,0
33,2,male,66.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,True,0
31,1,female,23.79929292929293,1,0,146.5208,C,First,woman,False,B,Cherbourg,False,1
667,3,male,23.79929292929293,0,0,7.775,S,Third,man,True,Unknown,Southampton,True,0
498,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,False,1
514,3,male,24.0,0,0,7.4958,S,Third,man,True,Unknown,Southampton,True,0
426,2,female,28.0,1,0,26.0,S,Second,woman,False,Unknown,Southampton,False,1
110,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,True,0
78,2,male,0.83,0,2,29.0,S,Second,child,False,Unknown,Southampton,False,1
532,3,male,17.0,1,1,7.2292,C,Third,man,True,Unknown,Cherbourg,False,0
618,2,female,4.0,2,1,39.0,S,Second,child,False,F,Southampton,False,1
83,1,male,28.0,0,0,47.1,S,First,man,True,Unknown,Southampton,True,0
745,1,male,70.0,1,1,71.0,S,First,man,True,B,Southampton,False,0
626,2,male,57.0,0,0,12.35,Q,Second,man,True,Unknown,Queenstown,True,0
412,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,False,1
267,3,male,25.0,1,0,7.775,S,Third,man,True,Unknown,Southampton,False,0
307,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,False,1
579,3,male,32.0,0,0,7.925,S,Third,man,True,Unknown,Southampton,True,0
5,3,male,23.79929292929293,0,0,8.4583,Q,Third,man,True,Unknown,Queenstown,True,0
54,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,False,0
251,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,False,1
457,1,female,23.79929292929293,1,0,51.8625,S,First,woman,False,D,Southampton,False,1
320,3,male,22.0,0,0,7.25,S,Third,man,True,Unknown,Southampton,True,0
363,3,male,35.0,0,0,7.05,S,Third,man,True,Unknown,Southampton,True,0
98,2,female,34.0,0,1,23.0,S,Second,woman,False,Unknown,Southampton,False,1
199,2,female,24.0,0,0,13.0,S,Second,woman,False,Unknown,Southampton,True,1
571,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,False,1
852,3,female,9.0,1,1,15.2458,C,Third,child,False,Unknown,Cherbourg,False,1
433,3,male,17.0,0,0,7.125,S,Third,man,True,Unknown,Southampton,True,0
807,3,female,18.0,0,0,7.775,S,Third,woman,False,Unknown,Southampton,True,1
25,3,female,38.0,1,5,31.3875,S,Third,woman,False,Unknown,Southampton,False,0
85,3,female,33.0,3,0,15.85,S,Third,woman,False,Unknown,Southampton,False,0
10,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,False,1
